asset_id,screen_usage,aspect_ratio,prompt
discover-villa-exterior-01,Discover exterior section,3:4,"Mediterranean luxury villa with smooth white stucco walls, terracotta tile roof, and grand arched loggias, vertical discover-card framing, premium editorial exterior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-villa-exterior-02,Discover exterior section,3:4,"Contemporary tropical villa with expansive cantilevered roofs, exotic teak wood finishes, and a pristine infinity pool edge, vertical discover-card framing, premium editorial exterior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-villa-exterior-03,Discover exterior section,3:4,"Ultra-modern luxury villa featuring glass-walled pavilions, floating concrete steps, and dramatic architectural water features, vertical discover-card framing, premium editorial exterior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-villa-exterior-04,Discover exterior section,3:4,"Italianate renaissance-inspired luxury villa with symmetrical stone facade, ornate wrought iron balconies, and tall cypress trees, vertical discover-card framing, premium editorial exterior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-villa-exterior-05,Discover exterior section,3:4,"Brutalist-inspired modern villa with raw textured concrete walls, dramatic geometric cutouts, and lush tropical foliage, vertical discover-card framing, premium editorial exterior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-villa-exterior-06,Discover exterior section,3:4,"Desert modernist villa with low-slung rammed earth walls, vast glass panes, and integrated native desert landscaping, vertical discover-card framing, premium editorial exterior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-villa-exterior-07,Discover exterior section,3:4,"European-style luxury estate villa with premium limestone masonry, classic slate roof, and elegant wrought iron entry gates, vertical discover-card framing, premium editorial exterior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-villa-exterior-08,Discover exterior section,3:4,"Cliffside modern villa with multiple tiers, sleek glass railings, expansive outdoor terraces overlooking a dramatic ocean vista, vertical discover-card framing, premium editorial exterior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-villa-exterior-09,Discover exterior section,3:4,"Art deco inspired contemporary villa with curved white walls, elegant brass accents, and a glamorous private motor court, vertical discover-card framing, premium editorial exterior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-villa-exterior-10,Discover exterior section,3:4,"Luxury pavilion villa with a minimalist steel frame, wrapped entirely in glass, overlooking a perfectly calm reflective pond, vertical discover-card framing, premium editorial exterior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-garden-courtyard-01,Discover garden section,3:4,"Japanese Zen courtyard garden with a central Japanese maple, raked gravel, smooth river stones, and a minimalist bamboo water spout, vertical discover-card framing, premium editorial landscape photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-garden-courtyard-02,Discover garden section,3:4,"Moroccan-style inner courtyard with a central tiled fountain, vibrant terracotta paving, lush potted palms, and patterned accent walls, vertical discover-card framing, premium editorial landscape photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-garden-courtyard-03,Discover garden section,3:4,"Minimalist modern courtyard with a single specimen olive tree, smooth white concrete walls, and clean architectural bench seating, vertical discover-card framing, premium editorial landscape photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-garden-courtyard-04,Discover garden section,3:4,"Mediterranean courtyard garden with aged cobblestones, climbing blooming jasmine on stone walls, and a rustic wooden dining table, vertical discover-card framing, premium editorial landscape photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-garden-courtyard-05,Discover garden section,3:4,"English cottage courtyard with overflowing purple lavender, stone brick pathways, a vintage iron bench, and a weathered brick backdrop, vertical discover-card framing, premium editorial landscape photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-garden-backyard-01,Discover garden section,3:4,"Modern backyard with a sunken fire pit lounge, large concrete pavers interspersed with turf, and layered architectural privacy bamboo, vertical discover-card framing, premium editorial landscape photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-garden-backyard-02,Discover garden section,3:4,"Luxury backyard oasis featuring a rectangular swimming pool, minimalist wooden sun decks, and manicured lawns with perimeter flower beds, vertical discover-card framing, premium editorial landscape photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-garden-backyard-03,Discover garden section,3:4,"Multi-tiered hillside backyard with stone retaining walls, lush mixed perennial borders, and a cozy gravel seating area under a pergola, vertical discover-card framing, premium editorial landscape photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-garden-backyard-04,Discover garden section,3:4,"Meadow-inspired backyard with natural fieldstone pathways, tall ornamental grasses, colorful wildflower patches, and a rustic fire bowl, vertical discover-card framing, premium editorial landscape photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-garden-backyard-05,Discover garden section,3:4,"Contemporary family backyard with a smooth wooden deck, built-in outdoor kitchen grill, and clean, expansive green lawn, vertical discover-card framing, premium editorial landscape photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-living-room-01,Discover interior section,3:4,"Japandi living room with a low-profile linen sofa, light oak wood furniture, paper pendant light, and minimalist ceramic decor, vertical discover-card framing, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-living-room-02,Discover interior section,3:4,"Industrial loft living room with double-height exposed brick wall, black leather sofa, large factory windows, and a metal-framed coffee table, vertical discover-card framing, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-living-room-03,Discover interior section,3:4,"Parisian chic living room with ornate wall moldings, a marble fireplace, herringbone wood floors, and a curved boucle sofa, vertical discover-card framing, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-living-room-04,Discover interior section,3:4,"Mid-century modern living room with a walnut credenza, iconic lounge chair, olive green accent wall, and geometric patterned rug, vertical discover-card framing, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-living-room-05,Discover interior section,3:4,"Scandinavian living room featuring a cozy white sectional, light wood floors, knitted throws, and a monochrome gallery wall, vertical discover-card framing, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-living-room-06,Discover interior section,3:4,"Modern farmhouse living room with exposed wooden ceiling beams, a slipcovered white sofa, rustic coffee table, and matte black hardware, vertical discover-card framing, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-living-room-07,Discover interior section,3:4,"Biophilic modern living room with a living plant wall, sustainable bamboo furniture, emerald green accents, and large skylights, vertical discover-card framing, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-living-room-08,Discover interior section,3:4,"Art Deco inspired living room with velvet jewel-toned armchairs, brass geometric coffee table, and bold statement wallpaper, vertical discover-card framing, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-living-room-09,Discover interior section,3:4,"Coastal contemporary living room with drift-wood finishes, a soft blue and cream color palette, linen curtains, and seagrass rugs, vertical discover-card framing, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-living-room-10,Discover interior section,3:4,"Ultra-minimalist living room with a sunken seating area, seamless microcement floors, concealed storage, and a single dramatic abstract painting, vertical discover-card framing, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-living-room-11,Discover interior section,3:4,"Transitional living room with a deep tufted Chesterfield sofa, symmetry in built-in shelving, neutral tones, and classic brass sconces, vertical discover-card framing, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-living-room-12,Discover interior section,3:4,"Boho-chic living room with a rattan accent chair, layered Moroccan rugs, hanging macrame, and an abundance of trailing houseplants, vertical discover-card framing, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-living-room-13,Discover interior section,3:4,"Glamorous luxury living room with a white marble accent wall, integrated LED lighting, velvet sectional, and high-gloss gold trim, vertical discover-card framing, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-living-room-14,Discover interior section,3:4,"Contemporary Southwest living room with warm adobe plaster walls, a leather cognac sofa, desert-toned textiles, and cacti decor, vertical discover-card framing, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-living-room-15,Discover interior section,3:4,"Eclectic collector's living room with a mix of vintage mid-century furniture, colourful textiles, open bookshelves, and unique art, vertical discover-card framing, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-living-room-16,Discover interior section,3:4,"Dark academic living room with moody charcoal walls, floor-to-ceiling built-in bookcases, a leather armchair, and warm brass lamps, vertical discover-card framing, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-living-room-17,Discover interior section,3:4,"Mediterranean modern living room with textured lime-wash walls, arched niches, low-slung seating, and terracotta decorative pottery, vertical discover-card framing, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-living-room-18,Discover interior section,3:4,"High-tech futuristic living room with seamless curved walls, integrated ambient strip lighting, minimalist grey modular seating, vertical discover-card framing, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-living-room-19,Discover interior section,3:4,"Retro 1970s revival living room with a velvet burnt orange sofa, shaggy rug, dark wood paneling, and a mushroom floor lamp, vertical discover-card framing, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-living-room-20,Discover interior section,3:4,"Urban modern living room with a sleek grey low-profile sofa, black marble coffee table, and minimalist silver accents, vertical discover-card framing, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-kitchen-01,Discover interior section,3:4,"Modern minimalist kitchen with handleless matte black cabinetry, a seamless white quartz island, and integrated high-end appliances, vertical discover-card framing, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-kitchen-02,Discover interior section,3:4,"Warm contemporary kitchen with fluted white oak cabinetry, a dramatic calacatta marble backsplash, and brass pendant lights, vertical discover-card framing, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-kitchen-03,Discover interior section,3:4,"Industrial kitchen featuring stainless steel countertops, open steel shelving, exposed concrete columns, and professional-grade range, vertical discover-card framing, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-kitchen-04,Discover interior section,3:4,"Scandinavian kitchen with clean white flat-panel cabinets, light ash wood accents, a simple white subway tile backsplash, and a bright feel, vertical discover-card framing, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-kitchen-05,Discover interior section,3:4,"Luxury transitional kitchen with shaker-style navy blue cabinets, white marble countertops, a large center island, and polished nickel hardware, vertical discover-card framing, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-kitchen-06,Discover interior section,3:4,"Modern farmhouse kitchen with a deep apron-front fireclay sink, reclaimed wood floating shelves, white cabinetry, and a vintage faucet, vertical discover-card framing, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-kitchen-07,Discover interior section,3:4,"Mediterranean-inspired kitchen with plaster hood vent, terracotta floor tiles, open wooden shelves displaying rustic ceramics, vertical discover-card framing, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-kitchen-08,Discover interior section,3:4,"Mid-century modern kitchen with warm walnut cabinetry, a retro pastel blue backsplash tile, and atomic-era pendant light fixtures, vertical discover-card framing, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-kitchen-09,Discover interior section,3:4,"Coastal modern kitchen featuring light seafoam green island cabinetry, white quartz tops, woven rattan barstools, and bright daylight, vertical discover-card framing, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
discover-kitchen-10,Discover interior section,3:4,"Moody dark luxury kitchen with charcoal grey fluted cabinets, dark soapstone countertops, integrated warm under-cabinet lighting, vertical discover-card framing, premium editorial interior photography for a high-end mobile app, photorealistic, natural daylight, tasteful staging, clean composition, luxury residential design, no people, no text, no watermark, no collage, sharp focus"
